,순위,선수명,팀명,AVG,G,PA,AB,H,2B,3B,HR,RBI,년도,경기타입
19,20,서한규,현대,0.000,7,4,2,0,0,0,0,0,2005,KBO 와일드카드
0,23,전병두,KIA,-,2,0,0,0,0,0,0,0,2005,KBO 정규시즌
1,23,주창훈,KIA,0.000,1,3,2,0,0,0,0,0,2005,KBO 정규시즌
0,23,전병두,KIA,-,2,0,0,0,0,0,0,0,2005,KBO 시범경기
1,23,주창훈,KIA,0.000,1,3,2,0,0,0,0,0,2005,KBO 시범경기
0,1,이종범,KIA,0.458,9,29,24,11,2,0,1,3,2005,KBO 와일드카드
1,2,장성호,KIA,0.400,6,18,15,6,0,0,1,8,2005,KBO 와일드카드
2,3,심재학,KIA,0.391,9,26,23,9,1,0,1,3,2005,KBO 와일드카드
3,4,김민철,KIA,0.368,9,19,19,7,0,0,2,6,2005,KBO 와일드카드
4,5,송산,KIA,0.333,9,17,15,5,2,0,0,3,2005,KBO 와일드카드
5,5,이영수,KIA,0.333,2,3,3,1,1,0,0,1,2005,KBO 와일드카드
6,7,이용규,KIA,0.286,9,26,21,6,1,1,0,2,2005,KBO 와일드카드
7,8,마해영,KIA,0.258,9,32,31,8,0,0,2,4,2005,KBO 와일드카드
8,9,이재주,KIA,0.250,3,5,4,1,0,0,0,1,2005,KBO 와일드카드
9,10,신동주,KIA,0.222,7,10,9,2,0,0,0,0,2005,KBO 와일드카드
10,11,김상훈,KIA,0.214,9,17,14,3,0,0,0,1,2005,KBO 와일드카드
11,11,김주형,KIA,0.214,6,14,14,3,0,0,0,1,2005,KBO 와일드카드
12,13,김성호,KIA,0.200,6,6,5,1,0,0,0,0,2005,KBO 와일드카드
13,13,홍세완,KIA,0.200,9,25,20,4,0,0,1,4,2005,KBO 와일드카드
14,15,최훈락,KIA,0.190,9,24,21,4,0,0,0,2,2005,KBO 와일드카드
15,16,서동욱,KIA,0.167,9,8,6,1,1,0,0,0,2005,KBO 와일드카드
16,17,임성민,KIA,0.154,9,16,13,2,1,0,0,0,2005,KBO 와일드카드
17,18,손지환,KIA,0.150,9,24,20,3,1,0,0,1,2005,KBO 와일드카드
18,19,백정훈,KIA,0.143,9,15,14,2,2,0,0,0,2005,KBO 와일드카드
19,20,홍현우,KIA,0.118,9,20,17,2,0,0,0,2,2005,KBO 와일드카드
20,21,김건한,KIA,-,1,0,0,0,0,0,0,0,2005,KBO 와일드카드
0,1,조동찬,삼성,0.346,6,32,26,9,0,0,0,4,2006,KBO 정규시즌
1,2,박한이,삼성,0.345,6,33,29,10,3,0,0,2,2006,KBO 정규시즌
2,3,진갑용,삼성,0.286,6,29,21,6,0,0,1,2,2006,KBO 정규시즌
3,4,박진만,삼성,0.280,6,29,25,7,1,0,0,2,2006,KBO 정규시즌
4,5,조영훈,삼성,0.250,3,6,4,1,0,0,0,0,2006,KBO 정규시즌
5,6,김종훈,삼성,0.211,6,21,19,4,0,0,0,0,2006,KBO 정규시즌
6,7,김대익,삼성,0.200,4,5,5,1,0,0,0,0,2006,KBO 정규시즌
7,7,심정수,삼성,0.200,6,19,15,3,1,0,0,2,2006,KBO 정규시즌
8,9,양준혁,삼성,0.167,6,31,24,4,0,0,0,3,2006,KBO 정규시즌
9,10,김재걸,삼성,0.083,6,12,12,1,0,0,0,2,2006,KBO 정규시즌
10,11,김한수,삼성,0.048,6,24,21,1,1,0,0,1,2006,KBO 정규시즌
11,12,강명구,삼성,-,3,0,0,0,0,0,0,0,2006,KBO 정규시즌
12,12,김창희,삼성,0.000,6,12,9,0,0,0,0,0,2006,KBO 정규시즌
13,12,박정환,삼성,0.000,2,2,2,0,0,0,0,0,2006,KBO 정규시즌
14,12,박종호,삼성,0.000,5,15,12,0,0,0,0,0,2006,KBO 정규시즌
15,12,이정식,삼성,0.000,2,1,1,0,0,0,0,0,2006,KBO 정규시즌
0,1,양준혁,삼성,0.303,126,533,413,125,31,1,13,81,2006,KBO 시범경기
1,2,진갑용,삼성,0.288,110,408,358,103,22,0,6,47,2006,KBO 시범경기
2,3,박한이,삼성,0.285,126,567,471,134,21,2,6,43,2006,KBO 시범경기
3,4,조영훈,삼성,0.283,88,204,180,51,11,1,2,26,2006,KBO 시범경기
4,5,박진만,삼성,0.283,115,452,382,108,22,1,11,65,2006,KBO 시범경기
5,6,조동찬,삼성,0.259,107,421,370,96,13,0,10,46,2006,KBO 시범경기
6,7,김한수,삼성,0.254,103,396,343,87,15,0,7,54,2006,KBO 시범경기
7,8,이태호,삼성,0.250,10,6,4,1,0,0,0,0,2006,KBO 시범경기
8,9,김대익,삼성,0.243,107,269,239,58,6,1,2,23,2006,KBO 시범경기
9,10,박종호,삼성,0.238,104,330,273,65,13,0,1,30,2006,KBO 시범경기
10,11,강봉규,삼성,0.234,87,145,128,30,6,1,4,16,2006,KBO 시범경기
11,12,이정식,삼성,0.229,69,92,83,19,5,0,2,9,2006,KBO 시범경기
12,13,김창희,삼성,0.221,114,351,307,68,12,1,8,38,2006,KBO 시범경기
13,14,김재걸,삼성,0.211,115,189,171,36,6,1,0,11,2006,KBO 시범경기
14,15,김종훈,삼성,0.202,96,185,163,33,7,0,0,6,2006,KBO 시범경기
15,16,박정환,삼성,0.165,43,100,91,15,1,0,0,2,2006,KBO 시범경기
16,17,심정수,삼성,0.141,26,96,85,12,1,0,1,7,2006,KBO 시범경기
17,18,김영복,삼성,0.091,7,11,11,1,0,0,0,0,2006,KBO 시범경기
18,19,강명구,삼성,0.053,91,24,19,1,0,0,0,1,2006,KBO 시범경기
19,20,강영식,삼성,-,1,0,0,0,0,0,0,0,2006,KBO 시범경기
20,20,김효남,삼성,-,1,0,0,0,0,0,0,0,2006,KBO 시범경기
21,20,양영동,삼성,-,2,0,0,0,0,0,0,0,2006,KBO 시범경기
22,20,오승환,삼성,-,1,0,0,0,0,0,0,0,2006,KBO 시범경기
23,20,임동규,삼성,-,1,0,0,0,0,0,0,0,2006,KBO 시범경기
24,20,조현근,삼성,0.000,1,1,1,0,0,0,0,0,2006,KBO 시범경기
25,20,채형직,삼성,-,1,0,0,0,0,0,0,0,2006,KBO 시범경기
0,17,차우찬,삼성,-,1,0,0,0,0,0,0,0,2006,KBO 시범경기
1,17,허연철,삼성,0.000,12,5,3,0,0,0,0,0,2006,KBO 시범경기
0,17,차우찬,삼성,-,1,0,0,0,0,0,0,0,2006,KBO 와일드카드
1,17,허연철,삼성,0.000,12,5,3,0,0,0,0,0,2006,KBO 와일드카드
0,1,김태완,한화,0.500,4,4,4,2,0,0,0,3,2006,KBO 시범경기
1,2,송광민,한화,0.350,18,20,20,7,0,0,2,5,2006,KBO 시범경기
2,3,백재호,한화,0.349,42,100,86,30,5,0,1,12,2006,KBO 시범경기
3,4,김태균,한화,0.291,124,511,423,123,27,0,13,73,2006,KBO 시범경기
4,5,데이비스,한화,0.284,117,479,415,118,21,0,21,74,2006,KBO 시범경기
5,6,클리어,한화,0.271,93,323,284,77,14,0,7,25,2006,KBO 시범경기
6,7,조원우,한화,0.267,106,391,341,91,10,0,1,25,2006,KBO 시범경기
7,8,이범호,한화,0.257,126,497,421,108,25,1,20,73,2006,KBO 시범경기
8,9,이도형,한화,0.256,119,466,426,109,22,0,19,63,2006,KBO 시범경기
9,10,신경현,한화,0.243,100,307,272,66,11,0,2,15,2006,KBO 시범경기
10,11,한상훈,한화,0.242,95,187,161,39,7,0,1,11,2006,KBO 시범경기
11,12,고동진,한화,0.241,120,414,370,89,14,2,4,29,2006,KBO 시범경기
12,13,심광호,한화,0.234,80,154,137,32,4,0,5,15,2006,KBO 시범경기
13,14,김인철,한화,0.227,69,97,88,20,3,0,0,6,2006,KBO 시범경기
14,15,김민재,한화,0.211,121,428,375,79,17,0,5,27,2006,KBO 시범경기
15,16,김수연,한화,0.208,109,115,106,22,1,0,0,5,2006,KBO 시범경기
16,17,연경흠,한화,0.203,96,209,187,38,8,0,9,20,2006,KBO 시범경기
17,18,임수민,한화,0.154,13,15,13,2,0,0,0,0,2006,KBO 시범경기
18,19,백승룡,한화,0.139,37,47,36,5,2,0,0,0,2006,KBO 시범경기
19,20,구대성,한화,-,2,0,0,0,0,0,0,0,2006,KBO 시범경기
20,20,김해님,한화,-,2,0,0,0,0,0,0,0,2006,KBO 시범경기
21,20,류현진,한화,-,3,0,0,0,0,0,0,0,2006,KBO 시범경기
22,20,문동환,한화,-,1,0,0,0,0,0,0,0,2006,KBO 시범경기
23,20,오재필,한화,0.000,3,4,4,0,0,0,0,0,2006,KBO 시범경기
24,20,정범모,한화,0.000,4,1,1,0,0,0,0,0,2006,KBO 시범경기
25,20,차명주,한화,-,1,0,0,0,0,0,0,0,2006,KBO 시범경기
0,1,정범모,한화,0.500,3,4,4,2,0,0,0,0,2006,KBO 와일드카드
1,2,김태균,한화,0.400,7,28,20,8,2,0,0,5,2006,KBO 와일드카드
2,3,이범호,한화,0.313,9,35,32,10,3,1,1,5,2006,KBO 와일드카드
3,4,클리어,한화,0.297,12,42,37,11,3,0,0,5,2006,KBO 와일드카드
4,5,김수연,한화,0.294,11,18,17,5,0,1,0,0,2006,KBO 와일드카드
5,5,연경흠,한화,0.294,11,38,34,10,3,0,2,3,2006,KBO 와일드카드
6,7,고동진,한화,0.290,11,34,31,9,2,0,2,4,2006,KBO 와일드카드
7,8,백재호,한화,0.273,9,11,11,3,1,0,0,0,2006,KBO 와일드카드
8,9,백승룡,한화,0.263,11,24,19,5,0,0,0,0,2006,KBO 와일드카드
9,10,김민재,한화,0.240,8,28,25,6,2,0,0,0,2006,KBO 와일드카드
10,11,심광호,한화,0.235,8,17,17,4,1,0,0,1,2006,KBO 와일드카드
11,12,조원우,한화,0.227,7,24,22,5,1,0,1,1,2006,KBO 와일드카드
12,13,임수민,한화,0.211,9,19,19,4,0,0,0,4,2006,KBO 와일드카드
13,14,김태완,한화,0.200,10,18,15,3,0,0,0,3,2006,KBO 와일드카드
14,15,데이비스,한화,0.192,8,27,26,5,1,0,0,1,2006,KBO 와일드카드
15,16,김인철,한화,0.167,10,18,18,3,0,0,0,1,2006,KBO 와일드카드
16,16,오재필,한화,0.167,8,7,6,1,0,0,0,1,2006,KBO 와일드카드
17,18,이도형,한화,0.154,9,31,26,4,1,0,0,3,2006,KBO 와일드카드
18,19,신경현,한화,0.143,10,23,21,3,0,0,1,2,2006,KBO 와일드카드
19,20,송광민,한화,0.000,9,13,12,0,0,0,0,0,2006,KBO 와일드카드
20,20,전현태,한화,0.000,5,4,2,0,0,0,0,0,2006,KBO 와일드카드
0,1,김수연,한화,1.000,3,2,1,1,0,0,0,1,2006,KBO 플레이오프
1,2,고동진,한화,0.545,3,13,11,6,2,1,0,0,2006,KBO 플레이오프
2,3,김태균,한화,0.444,3,12,9,4,0,0,0,1,2006,KBO 플레이오프
3,4,이범호,한화,0.364,3,12,11,4,0,0,3,5,2006,KBO 플레이오프
4,5,한상훈,한화,0.286,3,10,7,2,0,0,0,0,2006,KBO 플레이오프
5,6,김민재,한화,0.222,3,10,9,2,0,0,1,1,2006,KBO 플레이오프
6,7,데이비스,한화,0.000,3,12,10,0,0,0,0,1,2006,KBO 플레이오프
7,7,백승룡,한화,-,1,0,0,0,0,0,0,0,2006,KBO 플레이오프
8,7,백재호,한화,0.000,1,2,2,0,0,0,0,0,2006,KBO 플레이오프
9,7,신경현,한화,0.000,3,10,9,0,0,0,0,0,2006,KBO 플레이오프
10,7,이도형,한화,0.000,3,11,10,0,0,0,0,0,2006,KBO 플레이오프
11,7,조원우,한화,0.000,3,12,11,0,0,0,0,0,2006,KBO 플레이오프
12,7,클리어,한화,-,1,1,0,0,0,0,0,1,2006,KBO 플레이오프
0,1,백재호,한화,1.000,2,2,2,2,0,0,0,0,2006,KBO 한국시리즈
1,2,김수연,한화,0.500,4,4,4,2,1,0,0,0,2006,KBO 한국시리즈
2,3,김민재,한화,0.417,4,14,12,5,2,0,0,1,2006,KBO 한국시리즈
3,4,클리어,한화,0.375,4,12,8,3,0,0,0,1,2006,KBO 한국시리즈
4,5,한상훈,한화,0.357,4,15,14,5,0,1,0,1,2006,KBO 한국시리즈
5,6,김인철,한화,0.333,2,3,3,1,1,0,0,0,2006,KBO 한국시리즈
6,6,신경현,한화,0.333,4,12,9,3,0,0,0,0,2006,KBO 한국시리즈
7,8,김태균,한화,0.294,4,18,17,5,0,0,2,6,2006,KBO 한국시리즈
8,9,고동진,한화,0.222,3,11,9,2,1,0,0,1,2006,KBO 한국시리즈
9,10,데이비스,한화,0.214,4,18,14,3,0,0,1,1,2006,KBO 한국시리즈
10,11,조원우,한화,0.182,4,12,11,2,0,0,0,1,2006,KBO 한국시리즈
11,12,이도형,한화,0.143,4,14,14,2,0,0,1,1,2006,KBO 한국시리즈
12,12,이범호,한화,0.143,4,17,14,2,1,0,0,3,2006,KBO 한국시리즈
13,14,백승룡,한화,-,2,1,0,0,0,0,0,0,2006,KBO 한국시리즈
14,14,심광호,한화,0.000,3,2,2,0,0,0,0,0,2006,KBO 한국시리즈
0,21,황두성,현대,-,1,0,0,0,0,0,0,0,2006,KBO 정규시즌
0,21,황두성,현대,-,1,0,0,0,0,0,0,0,2006,KBO 시범경기
0,1,김동수,현대,0.400,5,6,5,2,0,0,0,0,2006,KBO 와일드카드
1,2,이숭용,현대,0.360,7,26,25,9,2,0,0,3,2006,KBO 와일드카드
2,3,채종국,현대,0.348,9,25,23,8,2,0,0,3,2006,KBO 와일드카드
3,4,허준,현대,0.333,5,3,3,1,0,0,0,0,2006,KBO 와일드카드
4,5,정성훈,현대,0.303,9,34,33,10,0,0,0,2,2006,KBO 와일드카드
5,6,강병식,현대,0.300,10,22,20,6,2,0,0,3,2006,KBO 와일드카드
6,6,송지만,현대,0.300,6,23,20,6,0,0,1,5,2006,KBO 와일드카드
7,8,강귀태,현대,0.263,9,21,19,5,1,0,1,3,2006,KBO 와일드카드
8,9,유한준,현대,0.262,12,47,42,11,0,0,2,11,2006,KBO 와일드카드
9,10,정수성,현대,0.238,12,47,42,10,1,0,0,3,2006,KBO 와일드카드
10,11,지석훈,현대,0.231,5,14,13,3,0,0,1,1,2006,KBO 와일드카드
11,12,이택근,현대,0.227,11,25,22,5,1,0,1,6,2006,KBO 와일드카드
12,13,서튼,현대,0.214,9,34,28,6,2,0,1,3,2006,KBO 와일드카드
13,14,전준호,현대,0.211,9,24,19,4,0,0,0,2,2006,KBO 와일드카드
14,15,전근표,현대,0.200,8,12,10,2,1,0,0,1,2006,KBO 와일드카드
15,16,차화준,현대,0.182,10,22,22,4,0,0,0,1,2006,KBO 와일드카드
16,17,강정호,현대,0.171,11,38,35,6,0,0,0,1,2006,KBO 와일드카드
17,18,홍원기,현대,0.125,9,16,16,2,0,0,0,1,2006,KBO 와일드카드
18,19,오윤,현대,0.000,6,8,7,0,0,0,0,0,2006,KBO 와일드카드
0,1,김동수,현대,0.538,4,16,13,7,1,0,0,3,2006,KBO 한국시리즈
1,2,이숭용,현대,0.333,4,16,15,5,0,0,0,3,2006,KBO 한국시리즈
2,2,이택근,현대,0.333,4,17,15,5,0,0,1,2,2006,KBO 한국시리즈
3,4,정성훈,현대,0.308,4,16,13,4,0,0,0,2,2006,KBO 한국시리즈
4,5,송지만,현대,0.273,3,13,11,3,0,0,1,1,2006,KBO 한국시리즈
5,5,전준호,현대,0.273,4,12,11,3,0,0,0,0,2006,KBO 한국시리즈
6,7,서튼,현대,0.250,3,12,8,2,0,0,1,1,2006,KBO 한국시리즈
7,7,서한규,현대,0.250,4,8,8,2,0,0,0,0,2006,KBO 한국시리즈
8,7,채종국,현대,0.250,4,14,12,3,1,0,0,5,2006,KBO 한국시리즈
9,7,홍원기,현대,0.250,4,4,4,1,0,0,0,0,2006,KBO 한국시리즈
10,11,강귀태,현대,0.000,4,6,4,0,0,0,0,0,2006,KBO 한국시리즈
11,11,강병식,현대,0.000,4,3,3,0,0,0,0,0,2006,KBO 한국시리즈
12,11,박승민,현대,-,1,0,0,0,0,0,0,0,2006,KBO 한국시리즈
13,11,유한준,현대,0.000,4,10,9,0,0,0,0,0,2006,KBO 한국시리즈
14,11,전근표,현대,0.000,2,2,2,0,0,0,0,0,2006,KBO 한국시리즈
15,11,정수성,현대,0.000,3,2,2,0,0,0,0,0,2006,KBO 한국시리즈
16,11,차화준,현대,0.000,4,1,1,0,0,0,0,0,2006,KBO 한국시리즈
17,11,황두성,현대,-,1,0,0,0,0,0,0,0,2006,KBO 한국시리즈
0,23,차정민,KIA,-,2,0,0,0,0,0,0,0,2006,KBO 정규시즌
0,23,차정민,KIA,-,2,0,0,0,0,0,0,0,2006,KBO 시범경기
0,1,김경진,KIA,0.500,4,5,4,2,1,0,1,1,2006,KBO 와일드카드
1,1,김원섭,KIA,0.500,3,3,2,1,0,0,0,0,2006,KBO 와일드카드
2,3,김상훈,KIA,0.379,12,35,29,11,3,0,2,5,2006,KBO 와일드카드
3,4,장성호,KIA,0.372,12,47,43,16,1,0,2,6,2006,KBO 와일드카드
4,5,서브넥,KIA,0.333,12,44,42,14,1,0,1,6,2006,KBO 와일드카드
5,5,손지환,KIA,0.333,12,50,48,16,1,0,2,9,2006,KBO 와일드카드
6,7,이재주,KIA,0.310,12,47,42,13,0,0,4,10,2006,KBO 와일드카드
7,8,이종범,KIA,0.300,7,20,20,6,2,0,0,2,2006,KBO 와일드카드
8,9,김경언,KIA,0.294,12,37,34,10,3,1,0,3,2006,KBO 와일드카드
9,9,홍세완,KIA,0.294,12,37,34,10,0,0,3,9,2006,KBO 와일드카드
10,11,신동주,KIA,0.286,9,14,14,4,1,0,0,1,2006,KBO 와일드카드
11,12,송산,KIA,0.250,8,13,12,3,1,0,0,0,2006,KBO 와일드카드
12,12,심재학,KIA,0.250,2,5,4,1,0,0,0,0,2006,KBO 와일드카드
13,14,이용규,KIA,0.244,12,49,41,10,2,0,0,0,2006,KBO 와일드카드
14,15,김민철,KIA,0.214,12,30,28,6,0,1,1,4,2006,KBO 와일드카드
15,15,김주형,KIA,0.214,11,15,14,3,0,0,1,3,2006,KBO 와일드카드
16,17,임성민,KIA,0.091,10,12,11,1,0,0,0,1,2006,KBO 와일드카드
17,17,조경환,KIA,0.091,7,14,11,1,0,0,0,0,2006,KBO 와일드카드
18,19,김준무,KIA,0.000,6,1,1,0,0,0,0,0,2006,KBO 와일드카드
19,19,장문석,KIA,-,2,0,0,0,0,0,0,0,2006,KBO 와일드카드
20,19,전병두,KIA,-,1,0,0,0,0,0,0,0,2006,KBO 와일드카드
21,19,차일목,KIA,0.000,6,2,2,0,0,0,0,0,2006,KBO 와일드카드
22,19,최훈락,KIA,0.000,3,2,2,0,0,0,0,0,2006,KBO 와일드카드
0,1,조경환,KIA,0.400,2,6,5,2,0,0,1,2,2006,KBO 플레이오프
1,2,손지환,KIA,0.375,3,8,8,3,0,0,0,0,2006,KBO 플레이오프
2,3,김종국,KIA,0.333,3,5,3,1,0,0,0,0,2006,KBO 플레이오프
3,3,이현곤,KIA,0.333,3,12,12,4,1,0,1,4,2006,KBO 플레이오프
4,5,이종범,KIA,0.273,3,12,11,3,2,0,0,2,2006,KBO 플레이오프
5,5,장성호,KIA,0.273,3,13,11,3,0,0,1,1,2006,KBO 플레이오프
6,7,김상훈,KIA,0.250,3,9,8,2,1,0,0,0,2006,KBO 플레이오프
7,8,이재주,KIA,0.222,3,11,9,2,0,0,1,1,2006,KBO 플레이오프
8,9,스캇,KIA,0.200,3,10,10,2,0,0,0,0,2006,KBO 플레이오프
9,10,이용규,KIA,0.182,3,13,11,2,1,0,0,1,2006,KBO 플레이오프
10,11,김민철,KIA,-,1,0,0,0,0,0,0,0,2006,KBO 플레이오프
11,11,김원섭,KIA,0.000,3,7,5,0,0,0,0,0,2006,KBO 플레이오프
12,11,김주형,KIA,0.000,1,1,1,0,0,0,0,0,2006,KBO 플레이오프
13,11,차일목,KIA,-,1,0,0,0,0,0,0,0,2006,KBO 플레이오프
14,11,홍세완,KIA,0.000,2,3,1,0,0,0,0,0,2006,KBO 플레이오프
0,23,리오스,두산,-,1,0,0,0,0,0,0,0,2006,KBO 정규시즌
1,23,박명환,두산,-,1,0,0,0,0,0,0,0,2006,KBO 정규시즌
2,23,박정배,두산,-,3,0,0,0,0,0,0,0,2006,KBO 정규시즌
3,23,서동환,두산,-,2,0,0,0,0,0,0,0,2006,KBO 정규시즌
4,23,원용묵,두산,-,1,0,0,0,0,0,0,0,2006,KBO 정규시즌
5,23,이대현,두산,-,1,0,0,0,0,0,0,0,2006,KBO 정규시즌
6,23,이승엽,두산,0.000,12,12,11,0,0,0,0,1,2006,KBO 정규시즌
7,23,이원희,두산,-,2,0,0,0,0,0,0,0,2006,KBO 정규시즌
8,23,이혜천,두산,-,2,0,0,0,0,0,0,0,2006,KBO 정규시즌
9,23,이호성,두산,0.000,1,1,1,0,0,0,0,0,2006,KBO 정규시즌
10,23,장교성,두산,0.000,5,4,3,0,0,0,0,0,2006,KBO 정규시즌
11,23,정재훈,두산,-,11,0,0,0,0,0,0,0,2006,KBO 정규시즌
12,23,최주환,두산,0.000,4,3,3,0,0,0,0,0,2006,KBO 정규시즌
0,23,리오스,두산,-,1,0,0,0,0,0,0,0,2006,KBO 시범경기
1,23,박명환,두산,-,1,0,0,0,0,0,0,0,2006,KBO 시범경기
2,23,박정배,두산,-,3,0,0,0,0,0,0,0,2006,KBO 시범경기
3,23,서동환,두산,-,2,0,0,0,0,0,0,0,2006,KBO 시범경기
4,23,원용묵,두산,-,1,0,0,0,0,0,0,0,2006,KBO 시범경기
5,23,이대현,두산,-,1,0,0,0,0,0,0,0,2006,KBO 시범경기
6,23,이승엽,두산,0.000,12,12,11,0,0,0,0,1,2006,KBO 시범경기
7,23,이원희,두산,-,2,0,0,0,0,0,0,0,2006,KBO 시범경기
8,23,이혜천,두산,-,2,0,0,0,0,0,0,0,2006,KBO 시범경기
9,23,이호성,두산,0.000,1,1,1,0,0,0,0,0,2006,KBO 시범경기
10,23,장교성,두산,0.000,5,4,3,0,0,0,0,0,2006,KBO 시범경기
11,23,정재훈,두산,-,11,0,0,0,0,0,0,0,2006,KBO 시범경기
12,23,최주환,두산,0.000,4,3,3,0,0,0,0,0,2006,KBO 시범경기
0,1,송수,두산,0.500,8,4,4,2,0,0,0,0,2006,KBO 와일드카드
1,1,오세학,두산,0.500,5,3,2,1,0,0,1,1,2006,KBO 와일드카드
2,1,홍성흔,두산,0.500,2,2,2,1,0,0,0,0,2006,KBO 와일드카드
3,4,손시헌,두산,0.382,11,37,34,13,2,0,1,5,2006,KBO 와일드카드
4,5,안경현,두산,0.351,11,40,37,13,0,0,0,1,2006,KBO 와일드카드
5,6,강인권,두산,0.333,6,12,9,3,1,0,0,3,2006,KBO 와일드카드
6,6,민병헌,두산,0.333,8,6,6,2,0,0,0,1,2006,KBO 와일드카드
7,6,최준석,두산,0.333,3,9,9,3,0,0,0,0,2006,KBO 와일드카드
8,9,전상렬,두산,0.323,10,34,31,10,1,1,1,1,2006,KBO 와일드카드
9,10,문희성,두산,0.294,10,37,34,10,1,0,0,6,2006,KBO 와일드카드
10,11,김진수,두산,0.278,10,19,18,5,0,0,0,0,2006,KBO 와일드카드
11,12,용덕한,두산,0.250,11,30,28,7,3,0,0,4,2006,KBO 와일드카드
12,13,장원진,두산,0.241,10,31,29,7,2,0,1,5,2006,KBO 와일드카드
13,14,이종욱,두산,0.231,11,17,13,3,0,0,1,4,2006,KBO 와일드카드
14,15,고영민,두산,0.222,11,10,9,2,0,0,0,2,2006,KBO 와일드카드
15,16,나주환,두산,0.219,11,34,32,7,2,0,0,6,2006,KBO 와일드카드
16,17,윤승균,두산,0.185,11,27,27,5,0,0,1,3,2006,KBO 와일드카드
17,18,정원석,두산,0.182,11,13,11,2,0,1,0,1,2006,KBO 와일드카드
18,19,장교성,두산,0.143,7,8,7,1,0,0,0,0,2006,KBO 와일드카드
19,20,강동우,두산,0.100,10,23,20,2,1,0,0,2,2006,KBO 와일드카드
20,21,김승회,두산,-,2,0,0,0,0,0,0,0,2006,KBO 와일드카드
21,21,원용묵,두산,-,1,0,0,0,0,0,0,0,2006,KBO 와일드카드
0,22,조웅천,SK,-,2,0,0,0,0,0,0,0,2006,KBO 정규시즌
1,22,카브레라,SK,-,2,0,0,0,0,0,0,0,2006,KBO 정규시즌
2,22,홍명찬,SK,-,2,0,0,0,0,0,0,0,2006,KBO 정규시즌
0,22,조웅천,SK,-,2,0,0,0,0,0,0,0,2006,KBO 시범경기
1,22,카브레라,SK,-,2,0,0,0,0,0,0,0,2006,KBO 시범경기
2,22,홍명찬,SK,-,2,0,0,0,0,0,0,0,2006,KBO 시범경기
0,1,김형철,SK,1.000,3,2,2,2,0,0,0,1,2006,KBO 와일드카드
1,2,김성현,SK,0.538,12,14,13,7,1,0,0,2,2006,KBO 와일드카드
2,3,정경배,SK,0.409,8,24,22,9,1,1,0,2,2006,KBO 와일드카드
3,3,정근우,SK,0.409,9,24,22,9,1,0,1,5,2006,KBO 와일드카드
4,5,조중근,SK,0.400,12,23,20,8,2,1,0,7,2006,KBO 와일드카드
5,6,시오타니,SK,0.395,11,41,38,15,4,0,0,8,2006,KBO 와일드카드
6,7,이진영,SK,0.389,5,20,18,7,2,0,1,4,2006,KBO 와일드카드
7,8,피커링,SK,0.375,9,31,24,9,3,0,1,6,2006,KBO 와일드카드
8,9,최경철,SK,0.364,11,15,11,4,1,0,0,0,2006,KBO 와일드카드
9,10,김강민,SK,0.353,12,38,34,12,0,1,1,5,2006,KBO 와일드카드
10,11,이대수,SK,0.348,11,28,23,8,0,0,0,7,2006,KBO 와일드카드
11,12,박재홍,SK,0.324,10,36,34,11,1,0,3,7,2006,KBO 와일드카드
12,13,김재현,SK,0.286,11,44,35,10,3,0,1,13,2006,KBO 와일드카드
13,14,이재원,SK,0.267,8,15,15,4,2,0,0,2,2006,KBO 와일드카드
14,15,조동화,SK,0.244,11,43,41,10,3,0,0,2,2006,KBO 와일드카드
15,16,김동건,SK,0.222,8,13,9,2,0,0,1,2,2006,KBO 와일드카드
16,17,박경완,SK,0.188,10,22,16,3,1,0,1,2,2006,KBO 와일드카드
17,18,김태균,SK,0.158,10,22,19,3,1,0,0,5,2006,KBO 와일드카드
18,19,최정,SK,0.067,11,19,15,1,0,0,0,0,2006,KBO 와일드카드
19,20,김재구,SK,0.000,3,3,2,0,0,0,0,0,2006,KBO 와일드카드
20,20,정대현,SK,-,1,0,0,0,0,0,0,0,2006,KBO 와일드카드
21,20,정우람,SK,-,1,0,0,0,0,0,0,0,2006,KBO 와일드카드
0,25,이동훈,롯데,0.000,7,2,2,0,0,0,0,0,2006,KBO 정규시즌
1,25,이명우,롯데,-,1,0,0,0,0,0,0,0,2006,KBO 정규시즌
2,25,이재율,롯데,-,3,0,0,0,0,0,0,0,2006,KBO 정규시즌
3,25,이정민,롯데,-,1,0,0,0,0,0,0,0,2006,KBO 정규시즌
4,25,이정훈,롯데,-,1,0,0,0,0,0,0,0,2006,KBO 정규시즌
5,25,주형광,롯데,-,1,0,0,0,0,0,0,0,2006,KBO 정규시즌
6,25,최대성,롯데,-,2,0,0,0,0,0,0,0,2006,KBO 정규시즌
7,25,황준영,롯데,-,2,0,0,0,0,0,0,0,2006,KBO 정규시즌
0,25,이동훈,롯데,0.000,7,2,2,0,0,0,0,0,2006,KBO 시범경기
1,25,이명우,롯데,-,1,0,0,0,0,0,0,0,2006,KBO 시범경기
2,25,이재율,롯데,-,3,0,0,0,0,0,0,0,2006,KBO 시범경기
3,25,이정민,롯데,-,1,0,0,0,0,0,0,0,2006,KBO 시범경기
4,25,이정훈,롯데,-,1,0,0,0,0,0,0,0,2006,KBO 시범경기
5,25,주형광,롯데,-,1,0,0,0,0,0,0,0,2006,KBO 시범경기
